run_id,population,coupling-strength,noise-level,perturb-duration,recovery-tolerance,perturbation-regime,identity-pull-weight,social-pull-weight,metabolic-rate,shock-multiplier,recovery-rate,fatigue-threshold,fatigue-saturation,fatigue-intensity,cost-decay-rate,perturbation-strength,fatigue-enabled?,controlled-variance?,entrainment-mode?,selective-identity-pull,[total steps],[final value],
1,150.0,0.4,0.3,30.0,5.0,single,0.2,0.5,0.1,1,0.05,500,2000,0.5,0.01,60,true,false,false,all,5000,[step],5000
1.1,,,,,,,,,,,,,,,,,,,,,5000,recovery-time,54
1.2,,,,,,,,,,,,,,,,,,,,,5000,max-deviation,17.40743751593422
1.3,,,,,,,,,,,,,,,,,,,,,5000,mean-cumulative-cost,48.00648264398616
1.4,,,,,,,,,,,,,,,,,,,,,5000,max-fatigue-level,0
1.5,,,,,,,,,,,,,,,,,,,,,5000,at-risk-count,28
1.6,,,,,,,,,,,,,,,,,,,,,5000,at-risk-fraction,0.18666666666666668
1.7,,,,,,,,,,,,,,,,,,,,,5000,at-risk-mean-cost,51.04729104300041
1.8,,,,,,,,,,,,,,,,,,,,,5000,at-risk-mean-alignment-work,13571.28005162324
1.9,,,,,,,,,,,,,,,,,,,,,5000,at-risk-max-fatigue,0
1.10,,,,,,,,,,,,,,,,,,,,,5000,at-risk-mean-fatigue,0
1.11,,,,,,,,,,,,,,,,,,,,,5000,rest-mean-cost,47.30859219175342
1.12,,,,,,,,,,,,,,,,,,,,,5000,rest-mean-alignment-work,7127.819014729694
1.13,,,,,,,,,,,,,,,,,,,,,5000,rest-mean-fatigue,0
1.14,,,,,,,,,,,,,,,,,,,,,5000,cost-burden-ratio,1.0790279033477286
1.15,,,,,,,,,,,,,,,,,,,,,5000,alignment-work-ratio,1.903987744859695
1.16,,,,,,,,,,,,,,,,,,,,,5000,fatigue-burden-ratio,0
1.17,,,,,,,,,,,,,,,,,,,,,5000,mean-initial-distance,83.66591044082911
1.18,,,,,,,,,,,,,,,,,,,,,5000,mean-alignment-work,8330.598408283153
1.19,,,,,,,,,,,,,,,,,,,,,5000,max-alignment-work,37255.333759806505
1.20,,,,,,,,,,,,,,,,,,,,,5000,alignment-work-gini,0.43653757195336484
1.21,,,,,,,,,,,,,,,,,,,,,5000,initial-coupling-bias-variance,0.07497249267455926
1.22,,,,,,,,,,,,,,,,,,,,,5000,heading-variance,89.69437338755351
1.23,,,,,,,,,,,,,,,,,,,,,5000,cost-gini,0.048728163649900846
2,150.0,0.4,0.3,30.0,5.0,single,0.2,0.5,0.1,1,0.05,500,2000,0.5,0.01,60,true,false,false,all,5000,[step],5000
2.1,,,,,,,,,,,,,,,,,,,,,5000,recovery-time,77
2.2,,,,,,,,,,,,,,,,,,,,,5000,max-deviation,13.97395246457529
2.3,,,,,,,,,,,,,,,,,,,,,5000,mean-cumulative-cost,47.59316003245945
2.4,,,,,,,,,,,,,,,,,,,,,5000,max-fatigue-level,0
2.5,,,,,,,,,,,,,,,,,,,,,5000,at-risk-count,26
2.6,,,,,,,,,,,,,,,,,,,,,5000,at-risk-fraction,0.17333333333333334
2.7,,,,,,,,,,,,,,,,,,,,,5000,at-risk-mean-cost,49.494647271987496
2.8,,,,,,,,,,,,,,,,,,,,,5000,at-risk-mean-alignment-work,11675.67824616848
